pair_id	premise_slo	hypothesis_slo	premise_eng	hypothesis_eng	label
P1824	Potencialni prijavitelji predlogov projektov se lahko za pomoč obrnejo tudi na nacionalno kontaktno osebo na spodnjem naslovu.	Telefonska pomoč za potencialne prijavitelje predispozicij projektov zaenkrat še ni urejena, zato se bodo morali ti znajti sami.	Potential applicants for project proposals can also contact the national contact person at the address below for assistance.	Telephone support for potential applicants of predisposition projects is not yet available, so they will have to find their own way.	contradiction
P1904	Eden se je iz vozila rešil, dva pa sta ostala ukleščena v njem.	Vsi udeleženci prometne nesreče so obtičali v vozilih, zato so morali posredovati gasilci.	One of them escaped from the vehicle, but two remained trapped inside.	All the people involved in the accident were trapped in their vehicles, so the fire brigade had to intervene.	contradiction
P1906	Ne vemo, kako je pripotoval do Slovenije, kjer je ostal.“	Poznano je, na kak način je prispel do sem, a v Sloveniji ni ostal, odšel je dalje.“	"We don't know how he got to Slovenia, where he stayed."""	"It is well known how he got here, but he did not stay in Slovenia, he moved on."""	contradiction
P1914	Spomladanske čebulnice, ki so v koritih že pokazale prve liste, lahko presadimo na vrt.	Te rastline, ki so že pognale, moramo pustiti v cvetličnih lončkih, saj zunaj ne bodo preživele.	Spring bulbs that have already shown their first leaves in their pots can be transplanted to the garden.	These plants, which have already sprouted, must be left in pots as they will not survive outside.	contradiction
P1928	»Seveda, seveda,« se je razživel Marat.	Marat se je strinjal, a skozi stisnjene zobe.	Of course, of course, Marat brightened up.	Marat agreed, but through gritted teeth.	contradiction
P1947	“Ali predlagate, da se takoj vrnem v Anglijo?“	“Ali želite, da ostanem v tukajšnji državi?“	Are you suggesting that I return to England immediately?	Do you want me to stay in this country?	contradiction
P1970	Obraz si je pokrila z rokami, pritisnila blazinice na bobnečo glavo in se trudila nehati.	V tem času je bila sproščena, brez kakršnih koli znakov stresa na obrazu, smehljala se je.	She covered her face with her hands, pressed the finger pads against her achy head and tried to stop.	During this time, she was relaxed, without any signs of stress on her face, smiling.	contradiction
P2061	Nato drsel po cesti čez oba vozna pasova na nasprotno stran, kjer je trčil v betonsko ograjo.	Ker je ohranil kontrolo nad vozilom, je zapeljal na drugo stran ceste, nakar se je ustavil točno pred ograjo.	He then skidded across both lanes of the road to the opposite side, where he crashed into a concrete road barrier.	He drove to the other side of the road, maintaining control, and stopped right in front of the road barrier.	contradiction
P2071	In še eden, na katerem je palma pol metra bolj levo.	Pri tem palma stoji na istem mestu kot pri prejšnjem.	And another one where the palm tree is half a metre further to the left.	In this one, the palm tree is in the same place as in the previous one.	contradiction
P2122	Voščim vam lahko noč v stoti oddaji Prvi in drugi z željo, da se spet srečamo v stoprvi ...in stodrugi...stotretji...	Gledali ste prvo oddajo Prvi in drugi, želim vam spokojno noč in upam, da se vidimo spet naslednjič.	Good night to you on the 100th episode of Prvi In Drugi and I hope to see you again on the 101st ...and 102nd...103rd...	You have been watching the first episode of Prvi In Drugi, I wish you a restful night and hope to see you again next time.	contradiction
P2172	Dodamo meso in med mešanjem pražimo 5 minut oziroma tako dolgo, da začne rjaveti.	Gre za vegetarijansko jed, zato jo pripravimo brez mesa, na čebuli pražimo le zelenjavo.	Add the meat and fry, stirring, for 5 minutes or until it starts to brown.	It is a vegetarian dish, so it is prepared without meat and only vegetables are sautéed with the onions.	contradiction
P2215	Na levem kraju je bel lanen trak za zavezovanje, na desnem je odtrgan.”	Nihče si ni upal odtrgati lanenga traku, zato je ta še vedno na levi in desni strani.	"On the left is a white linen ribbon, on the right it is torn off."""	No one dared to tear off the linen ribbon, so it is still there on the left and the right.	contradiction
P2218	Dobro zmešamo, nato rahlo primešamo v sneg stepene beljake.	Preden dodamo sneg iz beljakov, sestavine pustimo nepremešane.	Mix well, then gently fold in the beaten egg whites.	Leave the ingredients unmixed before adding the beaten egg whites.	contradiction
P2243	Pod vplivom ugodnejših pogojev v mednarodnem okolju se bo okrepila rast poslovnih investicij.	V mednarodnem prostoru bo zaradi slabih razmer prišlo do upada števila poslovnih investicij.	Business investment growth will pick up under the influence of more favourable conditions in the international environment.	Internationally, the unfavourable conditions will lead to a decline in business investment.	contradiction
P2265	(1) Postopek za razlastitev se začne na predlog razlastitvenega upravičenca.	(1) Za razlastitev se lahko odloči zgolj država.	(1) Expropriation procedure shall be initiated on the proposal of the expropriating beneficiary.	(1) Expropriation may be ordered only by the State.	contradiction
P2297	»Najbrž res,« se je strinjala Rachel po kratkem premisleku.	“Ne, to ne more biti tako,“ je rekla Rachel in si ni vzela niti sekunde za razmislek.	I guess so, Rachel agreed after a moment's reflection.	No, it can't be like that, said Rachel, not taking a second to think.	contradiction
P2324	Posebej primeren je za pripravo sredozemskih jedi, solat z olivami in sirom ter jajci, pa tudi za mariniranje perutnine ali rib.	Ker je njegov okus zelo specifičen, se po navadi uporablja le pri pripravi solat, za kaj drugega, kot npr. sredozemske jedi ali mariniranje mesa, pa ni tako priljubljen.	It is particularly suitable for preparing Mediterranean dishes, salads with olives and cheese and eggs, as well as for marinating poultry or fish.	Because of its very specific flavour, it is usually only used in salads and is not so popular for other applications, such as in Mediterranean dishes or for marinating meat.	contradiction
P2366	Kdor je prišel v labirint, se ni več vrnil.	Še vsak je prišel ven iz blodnjaka, tudi ti boš.	Those who entered the labyrinth never returned.	Everyone else has come out of the maze, and you will too.	contradiction
P2400	Če je upnik pravna oseba, mora vlogi, s katero glasuje, priložiti dokaz, da je vlogo podpisal zastopnik.	V primeru, da je upnik pravna oseba, lahko odda vlogo brez podpisa zastopnika.	If the creditor is a legal entity, they must attach evidence to the ballot showing that the document was signed by a representative.	If the creditor is a legal person, they can submit the application without the signature of a representative.	contradiction
P2444	Bil je divji seks, ki ga ne bom nikoli pozabil.	Šlo je za tako monoton, brezizrazen koitus, da se mi bo še dolgo valjal po mislih.	It was wild sex that I will never forget.	It was such a monotonous, expressionless coitus that it will keep rolling through my mind for a long time.	contradiction
P2499	Karo in črtasti vzorci kot glavni elementi dajejo temi glamurozen in provokativen pridih.	Da bi dosegli čar, privlačno in nagajivo energijo, so se pri tej temi odločili za cvetlične vzorce in pike.	Check and striped patterns as the main elements give the theme a glamorous and provocative touch.	To achieve a charming, attractive and mischievous energy, they have opted for floral patterns and polka dots for this theme.	contradiction
P2538	Mislim, da je dobro, da slovenska Vlada da to čimprej v ratifikacijo.	Najslabše, kar lahko vlada Republike Slovenije stori, je, da jo pošlje v uradno potrditev.	I think it is good that the Slovenian Government gives this the go-ahead for ratification as soon as possible.	The worst the Government of the Republic of Slovenia can do is to send it for official approval.	contradiction
P2570	Predstavniki pogodbenic se bodo, kadar koli bo potrebno, posvetovali o kakršni koli zadevi v zvezi z uresničevanjem tega sporazuma.	Predstavniki pogodbenic se o uresnjičevanju dogovora ne bodo več dogovarjali in medsebojno posvetovali.	The representatives of the Parties will consult each other whenever necessary on any matter relating to the implementation of this agreement.	The representatives of the Parties will no longer agree and consult each other on the implementation of the arrangement.	contradiction
P2575	Mene je sram, da je moj sodržavljan, sonarodnjak.	Ponosen sem, da je tudi on Slovenec, tako kot jaz.	I am ashamed that he is my fellow countryman, my compatriot.	I am proud that he is Slovenian, just like me.	contradiction
P2580	Njeno temna brezzoba usta so bila presenetljivo grozeča, njene bele prsi pa popackane z rdečkastimi pikami.	Njena temna usta z belimi zobmi so bila čudovita, medtem ko so bile njene bele prsi umazane z rdečimi lisami.	Her dark, toothless mouth was surprisingly menacing and her white breasts were dotted with reddish spots.	Her dark mouth with white teeth was beautiful, while her white breasts were stained with red spots.	contradiction
P2628	Ampak po mojem je vseeno bolje, da ostane pri opravljanju.	Rekel bi, da samo obrekovanje ne bo dovolj.	But in my opinion, it is better to keep gossiping.	I would say that gossiping alone will not be enough.	contradiction
P2665	Kakavovo maslo je pomešano z vonjem cimeta, sladke pomaranče in klinčkov.	Kakavovo maslo je povsem nedišeče, saj mu ne dodajamo nobenih arom, ki bi povzročile prijeten vonj.	Cocoa butter is mixed with the scent of cinnamon, sweet orange and cloves.	Cocoa butter is completely odourless, as no flavourings are added to make it smell pleasant.	contradiction
P2737	Nadzor nad izvajanjem določb tega zakona opravljajo pristojni inšpekcijski organi, carinski organi in organi za notranje zadeve.	Pristojne institucije, tj. inšpekcije, davčna uprava in organi za zunanje zadeve, nadzirajo upoštevanje tega zakona.	The competent inspection authorities, customs authorities and internal affairs authorities shall supervise the implementation of the provisions of this law.	The competent institutions, i.e. the inspectorates, the tax administration and the foreign affairs authorities, monitor compliance with this law.	contradiction
P3090	Vsakič, ko sem dvignil žlico sem pomislil na domače.	Ko sem jedel, sem lahko razmišljal le o hrani.	Every time I picked up a spoon I thought of home.	When I ate, all I could think about was food.	contradiction
P3146	Obšla jo je groza, da se bo zadušila, če bo jokala.	Bila je neizmerno vesela, saj je niso pestile nobene skrbi.	She was terrified that if she cried, she would suffocate.	She was overjoyed because she had no worries.	contradiction
P3257	Sadje in zelenjava vsebujeta številne hranilne snovi, ki so zdrave in ki nadvse koristijo našemu telesu, zato je pomembno, da ju vključimo v vsakodnevno prehrano.	Ko začnemo razmišljati o naši prehrani, je pomembno, da z jedilnika najprej odstranimo sadje in zelenjavo, saj ti dve vrsti živil ne prinašata nikakršnih potrebnih hranilnih snovi v telo.	Fruits and vegetables contain many nutrients that are healthy and that are of great benefit to our bodies, so it is important to include them in our daily diet.	When we start thinking about our diet, it is important to first remove fruit and vegetables from the menu, as these two types of food do not provide any of the necessary nutrients to the body.	contradiction
P3294	Slabo vreme bo nekoliko vplivalo na vaše razpoloženje, a se boste slabi volji dovolj uspešno izognili.	Neke okoliščine vam ne bodo šle ravno na roko, a na srečo lahko sami nanje precej vplivate.	The bad weather will affect your mood somewhat, but you will be able to avoid it well enough.	Some circumstances will not go your way, but fortunately you will have a lot of control over them.	contradiction
P3339	Ko me je videl, se mu je obraz razlezel v nasmeh.	Pogled name ga je le še močneje potrl in užalostil.	When he saw me, his face broke into a smile.	The sight of me only depressed and saddened him even more.	contradiction
P3344	Pogodba mora opredeliti pravice in obveznosti pogodbenikov ter izvajanje postopkov akreditiranja v skladu s standardi in dokumenti, navedenimi v prvem odstavku tega člena oziroma v prvem odstavku prejšnjega člena.	Ob podpisu pogodbe podpisnikov ni treba seznaniti s svojimi pravicami in dolžnostmi, ne glede na standarde in dokumente na začetku tega ali prejšnjega člena, niti ni potrebno, da to pogodba navaja.	The contract shall specify the rights and obligations of the contracting parties and the implementation of the accreditation procedures in accordance with the standards and documents referred to in paragraph 1 of this Article or in paragraph 1 of the preceding Article, as appropriate.	The signatories do not need to be informed of their rights and obligations when signing the contract, notwithstanding the standards and documents at the beginning of this or the previous article, nor does the contract need to state this.	contradiction
P3345	Nagrajence bomo o rezultatih nagradne igre obvestili pisno po pošti.	Prejemnikom nagrad nagradne igre, to damo vedeti prek telefonske linije.	Winners will receive written notification by mail regarding the results of the prize contest.	We will let the winners of the prize contest know via the phone line.	contradiction
P3359	Upam, da mi ne bo kdo rekel...	Želim si, da to pride na plan...	I hope no one will say to me ...	I would like to see this come to light...	contradiction
P3420	Tako je bilo leta 1948, in tako je tudi danes.	Tri leta po koncu druge svetovne vojne je bilo povsem drugače kot dandanes.	That was the case in 1948, and it is the case today.	Three years after the end of the Second World War, it was very different from today.	contradiction
P3530	PRESAJANJE Ko korenine povsem napolnijo lonček, rastlino kadar koli presadimo v številko večjo posodo.	PROTI PRESAJANJU Tudi ko so korenine že po celotnem loncu, pustimo rastlino v njem in je ne presajamo drugam.	Transplanting Once the roots have completely filled the pot, the plant can be transplanted into a larger pot at any time.	AGAINST TRANSPLANTING Even when the roots have spread through the entire pot, leave the plant in the pot and do not transplant it elsewhere.	contradiction
P3555	Na sodbo se je pritožila odvetnica, ki je bila prepričana, da bi moral biti njen varovanec oproščen.	Odvetnica je bila zadovoljna, ko je bil pravilno spoznan za krivega, kljub temu, da je bil njen varovanec.	The ruling was appealed by a lawyer who believed her client should have been acquitted.	The lawyer was pleased when he was correctly found guilty, even though he was her client.	contradiction
P3564	Z odporom je gledal zviti tvidasti suknjič v Langdonovih rokah.	Smehljal se je ob pogledu na Langdona, ki je s seboj nosil tvidast suknjič, zvit v klobčič.	He looked with disgust at the rolled-up tweed jacket in Langdon's hands.	He smiled at the sight of Langdon, who was carrying a tweed jacket rolled into a ball.	contradiction
P3645	Klepec si je postavil leseno hišo, za kar je porabil tako debela debla, da so po tri drugo na drugem dala zadosti visoke stene.	Ko je Klepec gradil svojo hišo iz lesa, si je za stene izbral zelo tanka drevesca, da jih je za izgradnjo ene stene bilo potrebnih več ducatov.	Klepec built himself a wooden house, using logs so thick that three of them on top of each other gave walls high enough for the house.	When Klepec built his house out of wood, he chose very thin trees for the walls, so that it took several dozen of them to build one wall.	contradiction
P3663	Malo sva se pogovarjala in mi je dejal, naj grem še do hrvaškega policista, kar sem tudi storil, saj se tukaj vsi poznamo in je to bil zame zgolj sosedski in prijateljski pogovor znancev.	Neprijetno mi je bilo, ko mi je priporočil, naj se prav tako pogovorim s policistom iz Hrvaške, saj se na tem območju ljudje obnašajo zadržano in neprijateljsko ter redko govorijo drug z drugim.	We talked for a bit and he told me to go and see the Croatian policeman, which I did, because we all know each other here and for me it was just a neighbourly and friendly conversation between acquaintances.	I was uncomfortable when he recommended that I also talk to a police officer from Croatia, because in this area people are reserved and unfriendly and rarely speak to each other.	contradiction
P3721	Nazadnje dodajte žlico olja.	Jed dodatnega olja ne potrebuje.	Finally, add a tablespoon of oil.	The dish does not need any additional oil.	contradiction
P3742	Eden od takih je zagotovo tudi les, saj je z njim pokrita vec kot polovica površja Slovenije.	Drugače pa velja za les, saj ga je na Slovenskem zelo malo.	Wood is certainly one of them, as it covers more than half of Slovenia's land surface.	The situation is different for wood, which is very scarce in Slovenia.	contradiction
