pair_id	premise_slo	hypothesis_slo	premise_eng	hypothesis_eng	label
P1343	(2) Če veterinarska organizacija v Republiki Sloveniji ne izpolnjuje predpisanih pogojev za izvajanje določene dejavnosti javne veterinarske službe, organizira ministrstvo izvajanje te dejavnosti pri ustreznih inštitucijah v državi ali v drugih državah.	Res je, da je veterinarska organizacija v RS določena za izvajanje določene dejavnosti javne veterinarske službe, vendar če ne zadostuje predpisanim pogojem za tako izvajanje, se to prestavi v drugo ustrezno organizacijo pri nas, lahko pa celo v tujino.	(2) If a veterinary organisation in the Republic of Slovenia does not meet the prescribed conditions for carrying out a particular activity of the public veterinary service, the Ministry shall organise the carrying out of that activity with the appropriate institutions in the country or in other countries.	It is true that the veterinary organisation in the RS is designated to carry out a specific activity of the public veterinary service, but if it does not meet the requirements for such an activity, it is transferred to another appropriate organisation in the RS, or even abroad.	entailment
P1388	Na prvi ravni zelo skrbno ravnamo z instrumentalnimi definicijami problema in z raziskovanjem deleža posameznega člana v procesu reševanja in delamo na artikulaciji dobrih možnih izidov.	V prvi vrsti ravnamo izjemno pazljivo z instrumentalnimi definicijami problema in z raziskovanjem deleža določenega člana v procesu reševanja ter se ukvarjamo z artikulacijo dobrih izidov, ki so možni.	At the first level, we take great care with instrumental definitions of the problem and with exploring each member's stake in the solution process, and we work on the articulation of good possible outcomes.	First and foremost, we are extremely careful with instrumental definitions of the problem and with exploring the stake of a particular member in the solution process, and we are concerned with articulating the good outcomes that are possible.	entailment
P1402	Potem sem se vrnil, izvlekel zavoj, se usedel pod žarnico in ga začel odpirati.	Ko sem prišel nazaj, sem prinesel paket, šel na svetlobo in ga odprl.	Then I went back, pulled out the wrapper, sat under the light bulb and started to open it.	When I came back, I brought the package, went to the light and opened it.	entailment
P1438	Vsak mesec izžrebamo deset prejemnikov nagrad med dolgoletnimi zvestimi naročniki revije Zdravje.	Revija Zdravje mesečno izžreba 10 srečnežev, ki prejmejo nagrado za dolgoletno zvestobo.	Every month, we draw ten prize winners from among long-standing loyal subscribers to Zdravje magazine.	Every month, Zdravje magazine draws 10 lucky winners to receive a prize for their years of loyalty.	entailment
P1448	Nimam pojma, zakaj, ko je dejansko tako čuden, ampak ponovila sem njene besede, to je vse.«	Ne razumem zakaj, saj je vendar čudak, a vse, kar sem naredila, je bilo to, da sem ponovila za njo.	"I have no idea why, when he is actually so strange, but I repeated her words, that's all."""	I don't understand why, because he is a freak, but all I did was repeat after her.	entailment
P1527	To ni žalitev, ampak razlog, da ob smrti žalujejo.	Tega ne smemo razumeti kot žalitev, temveč kot razlog, da žalujejo ob preminulosti.	This is not an insult, but a reason to mourn a death.	This should not be seen as an insult, but as a reason to mourn a passing.	entailment
P1540	Ni znano, da bi Septolete plus z okusom medu in limete vplivale na učinke drugih zdravil.	Ni podatkov o vplivanju pastil Septolete plus z okusom medu in limete na efektivnost ostalih medikamentov.	Septolete plus with honey and lime flavour is not known to interfere with the effects of other medicines.	There are no data on the effect of Septolete plus honey-lime flavoured lozenges on the effectiveness of other medicines.	entailment
P1550	Odrasle se hranijo predvsem z ribami, raki in vodnimi žuželkami.	Najbolj pogost izbor na jedilniku odraslih so raznorazne ribe, rakci ali druge vodne žuželke.	Adults feed mainly on fish, crustaceans and aquatic insects.	The most common choices on the adult menu are various fish, shrimps or other aquatic insects.	entailment
P1612	»Te ocene vendar!« je skoraj zahlipala Lucija Lupinc.	Lucija Lupinc je izrazila nezadovoljstvo nad ocenami.	These reviews, though! Lucija Lupinc almost shrieked.	Lucija Lupinc expressed her dissatisfaction with the reviews.	entailment
P1614	Depresivni bolniki se pogosto prebujajo prezgodaj ali sredi noči in ne morejo več zaspati.	Pri ljudeh, ki se spoporijemajo z depresijo, so pogosti nespečnost, nočno zbujanje in kratek spanec.	Depressed patients often wake up too early or in the middle of the night and can no longer fall asleep.	Insomnia, waking up at night and short sleep are common in people who struggle with depression.	entailment
P1621	Barvni odtenki se raztezajo od zelenih preko rumeno-rjavih, rjavih in rdečkastih tonov pa do temno rjavih in popolnoma črnih.	Opazimo več barvnih odtenkov, ki se stopnjujejo od izrazitejših in svetlejših do temnejših, dokler ne preidejo v popolno črnino.	The colour shades range from green through yellow-brown, brown and reddish tones to dark brown and completely black.	Several shades of colour are observed, gradating from more vivid and lighter to darker, until they become completely black.	entailment
P1627	Koncesijo podeli pristojni upravni organ občine ali mesta v soglasju z ministrstvom pristojnim za zdravstvo, po poprejšnjem mnenju lekarniške zbornice in Zavoda za zdravstveno zavarovanje Slovenije.	S koncesijo se morajo najprej strinjati ZZZS in lekarniška zbornica, nato jo mora odobriti ministrstvo, pristojno za zdravstvo, šele nato pa jo lahko pristojni upravni organ občine ali mesta tudi podeli.	The concession is granted by the competent administrative authority of the municipality or city in agreement with the Ministry responsible for healthcare, after the prior opinion of the Slovene Chamber of Pharmacies and the Health Insurance Institute of Slovenia.	The concession must first be approved by the ZZZS and the Chamber of Pharmacies, then by the Ministry responsible for healthcare, and only then it can be granted by the competent administrative authority of the municipality or city.	entailment
P1692	Morska voda v Jadranskem morju vsebuje 3,5 % soli, do 3 % je natrijevega klorida.	V Jadranu najdemo 3,5 odstotka soli, 3 odstotki od tega so NaCl.	Seawater in the Adriatic Sea contains 3.5% of salt and up to 3% of sodium chloride.	The Adriatic contains 3.5% of salt, 3% of which is NaCl.	entailment
P1760	Bil je popolnoma tiho, komaj si je upal dihati, in čakal.	Niti črhnil ni, bil je kot okamenel in čakal.	He was completely silent, hardly daring to breathe, and waited.	He didn't even twitch, he was as petrified and waited.	entailment
P1766	»Saj sem ti hotela samo pomagati,« je hip zatem vzkipela.	Takoj nato ni več zdržala: “Hotela sem le dobro!“	I was only trying to help you, she lost a temper a moment later.	"Immediately afterwards, she couldn't take it anymore: ""I just wanted to do good!"""	entailment
P1769	Vprašalnik so preizkušale svetovalne delavke, članice odbora za pripravo posveta, ki je bil v ta namen organiziran.	Sestavljen je bil poseben odbor za pripravo posveta, katerega članice (vse svetovalne delavke) so preverjale vprašalnik.	The questionnaire was tested by the consultants who were members of the consultation's drafting committee, which was organised for this purpose.	A special committee was set up to prepare the consultation, whose members (all female consultants) checked the questionnaire.	entailment
P1802	S pogledom je ošinil Susan, ki je stala zraven njega na ploščadi.	Bežno se je ozrl v smeri Susan, ki se je nahajala ob njem na ploščadi.	He glanced at Susan, who was standing next to him on the platform.	He glanced fleetingly in the direction of Susan, who was next to him on the platform.	entailment
P1861	»Kaj posebnega se mi na cesti še ni zgodilo, niti prometne nesreče še nisem doživel.«	»Za zdaj se mi na poti ni pripetilo nič posebnega ali nenavadnega.«	Nothing special has happened to me on the road, I've never even had a car accident.	So far, nothing special or unusual has happened to me on the route.	entailment
P1927	»Seveda, seveda,« se je razživel Marat.	Marat je živahno pritrdil.	Of course, of course, Marat brightened up.	Marat lively affirmed.	entailment
P1929	Stephen Hawking, eden osrednjih fizikov našega časa, je leta 1988 izdal poljudnoznanstveno uspešnico Kratka zgodovina časa.	1988 - Profesor Hawking je izdal knjigo Kratka zgodovina časa, eno najbolje prodajanih znanstvenih del.	Stephen Hawking, one of the leading physicists of our time, published the popular science bestseller A Brief History of Time in 1988.	1988 - Professor Hawking publishes A Brief History of Time, one of the best-selling scientific works.	entailment
P2101	PREDLOG: ROZI JE V KURNIKU, S KOŠARICO V ROKAH.	NASVET SE GLASI: ONA SE NAHAJA V KOKŠNJAKU, DRŽI KOŠARO.	SUGGESTION: ROSIE IS IN THE HENHOUSE, WITH A BASKET IN HER HANDS.	THE ADVICE IS: SHE IS IN THE COCKPIT, HOLDING THE BASKET.	entailment
P2117	Te bo določil habilitirani predavatelj specifično glede na izbrane teme.	Za te se bo odločil habilitirani predavatelj, po tem, ko bo premislil z ozirom glede na izbrane tematike.	These will be determined by the habilitated lecturer, depending on the topics chosen.	These will be decided by the habilitated lecturer, after considering the topics chosen.	entailment
P2129	S temi besedami je odkorakal z verande in se odpeljal.	Tako je končal pogovor, zapustil verando in odšel.	Having said that, he walked off the porch and drove away.	So he ended the conversation, left the porch and walked away.	entailment
P2157	»Tudi jaz sem vedno tukaj,« je odgovoril.	“Nikoli ne grem nikamor drugam,“ je povedal.	I'm always here too, he replied.	I never go anywhere else, he said.	entailment
P2210	»Sinoči sva šla v posteljo kot vsak večer okrog enih.	Včeraj ponoči sva šla spat kot ponavadi okoli ene.	"Last night we went to bed as we do every night, around one o'clock.	Last night we went to bed as usual, at around one.	E		annotator_F	E		annotator_G				E	entailment
P2211	Gluten-free alternatives include rice, soya, buckwheat, quinoa (Peruvian millet), millet and maize.	Rice, soya, buckwheat, quinoa, millet and maize contain gluten.	C		annotator_C	C		annotator_A				C	contradiction
P2212	Gluten-free alternatives include rice, soya, buckwheat, quinoa (Peruvian millet), millet and maize.	If you want to eat healthily, you can choose gluten-free foods such as rice, soya, buckwheat, etc.	N		annotator_C	N		annotator_B				N	neutral
P2213	Gluten-free alternatives include rice, soya, buckwheat, quinoa (Peruvian millet), millet and maize.	Gluten-free substitutes include rice, soya, buckwheat, quinoa, millet and maize.	E		annotator_C	E		annotator_G				E	entailment
P2214	On the left is a white linen ribbon, on the right it is torn off."	On the left side there is a white linen ribbon for tying, on the right side it has been torn off.	entailment
P2246	Fižol in kapre odcedimo, stresemo v krompirjev golaž, še enkrat zavremo, solimo, popopramo in potresemo s peteršiljem.	V golaž iz krompirja dodamo odcejene kapre in fižol, ko ta ponovno zavre, dosolimo in dodamo poper ter začinimo z nasesekljanim peteršiljem.	Drain the beans and capers, stir them into the potato goulash, bring to the boil again, season with salt and pepper and sprinkle with parsley.	Add the drained capers and beans to the potato goulash and, when it comes to the boil again, season with salt and pepper and add chopped parsley.	entailment
P2367	Kdor je prišel v labirint, se ni več vrnil.	Blodnjak je požrl še vse, ki so vanj vstopili.	Those who entered the labyrinth never returned.	Those who entered the mental maze were all swallowed up by it.	entailment
P2372	Takoj sem vedel, da nekaj ni v redu.«	Hipoma ga je prešinil slab občutek.	"I knew immediately that something was wrong."""	He was instantly struck by a bad feeling.	entailment
P2521	Organizacije morajo zagotoviti notranjo kontrolo nad opravljanjem njihovih nalog po tem zakonu.	V zakoniku piše o zagotovitvi notranje organizacije in opravljanju njihovih dolžnosti.	Organisations must ensure internal control over the performance of their tasks under this Law.	The Code is about ensuring internal organisation and the performance of their duties.	entailment
P2536	Mislim, da je dobro, da slovenska Vlada da to čimprej v ratifikacijo.	Najbrž bi bilo smiselno, če bi vlada RS to najhitreje možno dala v potrditev.	I think it is good that the Slovenian Government gives this the go-ahead for ratification as soon as possible.	It would probably make sense for the Government of the Republic of Slovenia to give its approval as soon as possible.	entailment
P2639	Ta pa pravi: »Pornografske vsebine v tiskanih publikacijah ter na oglasnih površinah so lahko ponujene le tako, da jih otroci in mladoletniki ne morejo videti in kupiti.	Omenil je, da morajo biti pornografske vsebine ne glede na medij na voljo odraslim zgolj na način, da do njih nimajo dostopa mladoletni otroci.	"It says: ""Pornographic content in printed publications and on advertising surfaces may only be offered in such a way that it cannot be seen or purchased by children and minors."	He mentioned that pornographic content, regardless of the medium, must be made available to adults only in such a way that it is not accessible to under-age children.	entailment
P2647	V ta namen ni potrebno dognati, ali so te teorije pravilne.	Del naše naloge pa ni, da bi morali ugotoviti, ali so bile naše teorije pravilne ali ne.	For this purpose, it is not necessary to find out whether these theories are correct.	But part of our job is not to find out whether our theories were right or wrong.	entailment
P2660	Človeška ribica je s 25 do 30 cm največja jamska žival na svetu ter edini jamski vretenčar v Evropi.	S 25 do 30 centimetri dolžine je proteus največja žival, živeča v jami, in edini jamski vretenčar v Evropi.	At 25 to 30 cm, the Proteus is the largest cave animal in the world and the only cave vertebrate in Europe.	At 25 to 30 centimetres long, Proteus is the largest cave-dwelling animal and the only cave vertebrate in Europe.	entailment
P2739	Vsekakor sta zelo dobra prožnost in miren tek glavni odliki motorja, ki omogočata tako umirjeno, lagodno vožnjo v visoki prestavi kot tudi dovolj odločna prehitevanja.	Pomembni prednosti motorja sta brez dvoma velika okretnost in kontoliran tek, ki zagotavljata udobno, sproščeno vožnjo v višjih prestavah ter hkrati ne izključujeta odločnega prehitevanja.	In any case, very good flexibility and smooth running are the engine's main strengths, allowing both calm, relaxed driving in high gear and sufficiently decisive overtaking.	The engine's major strengths are undoubtedly its high agility and smooth running, which ensure a comfortable, relaxed ride in higher gears, without precluding decisive overtaking.	entailment
P2798	Po prvi oceni skupna gmotna škoda znaša vsaj petdeset tisoč evrov.	Prvotna ocena gmotne škode napoveduje dobrih 50.000 evrov stroškov.	The first estimate of the total material damage is at least €50 000.	The initial estimate of the material damage is more than €50,000.	entailment
P2817	Poljubljal jo je na vrat, na lica, na veke in povsod, kjer so se je dotaknile njegove ustnice, je še naprej čutila njih vlažni dotik.	Povsod po njenem obrazu so padali njegovi poljubi, njen obraz je bil vlažen od dotikov njegovih ust.	He kissed her neck, her cheeks, her eyelids, and everywhere his lips touched her, she continued to feel their moist touch.	His kisses fell all over her face, her face was moist from the touch of his mouth.	entailment
P2825	Vprašal je, kakšen je bil Heatherin fant, se je spomnila.	Spomnila se je, da je spraševal o Heatherinem fantu.	He asked what Heather's boyfriend was like, she remembered.	She remembered that he had asked about Heather's boyfriend.	entailment
P2897	Najbolj primerni so vztrajnostni športi, tek, plavanje, kolesarjenje, telovadne vaje in hoja.	Ustrezni so športi, pri katerih potrebuješ vzdržljivost, primerno je torej teči, plavati, se usesti na kolo, telovaditi in se sprehajati.	The most suitable are endurance sports, running, swimming, cycling, gym exercises, and walking.	Sports that require endurance are suitable, so running, swimming, cycling, exercising, and walking are all suitable.	entailment
P2999	Jamati dodaja: Ta širokosrčna gospa, ta popolna mati, spoštovana, občudovana, ki zna odkrivati “v vsem nekaj svetega“, kakšna priča je to zanj!)	Jamati še reče, da je ta dobrosrčna, cenjena in oboževana žena, izjemna mama, ki v vsaki stvari vidi nekaj svetega, zanj izjemna priča.	"Jamati adds: 'This magnanimous lady, this perfect mother, respected, admired, who knows how to discover ""something holy in everything"", what a witness this is for her!)"	Jamati goes on to say that this kind-hearted, respected and adored wife, this extraordinary mother who sees something sacred in everything, is an exceptional witness for him.	entailment
P3015	Akne, ki se jih bojijo predvsem najstniki, niso v ničemer povezane z uživanjem čokolade, razen če ne gre za čokolado dvomljive kakovosti oziroma takšno, ki so ji dodane velike količine maščob in sladkorja.	Najstniki pogosto trepetajo pred aknami in se posledično otepajo čokolade, kar pa v resnici ni potrebno, razen če posegajo po čokoladi z dodatkom maščob in sladkorja oz. če gre za čokolado dvomljive kvalitete.	The acne that teenagers in particular fear has nothing to do with chocolate consumption, unless it is of questionable quality or with high amounts of fat and sugar added.	Teenagers are often scared of acne and consequently shy away from chocolate, which is not really necessary unless they are reaching for chocolate with added fats and sugar, or chocolate of questionable quality.	entailment
P3044	»Se je kurbal?« sem se sladko nasmehnil.	Smehljaje sem vprašal: “Se je vlačugal?“	Did he fuck? I smiled sweetly.	"I asked, smiling, ""Has he been whoring?"""	entailment
P3102	Na tekmi so nastopili še trije Slovenci, ki pa se niso uvrstili v finalno serijo.	Na tekmovanje je svoje zmogljivosti prišla preizkusit tudi slovenska trojka, a se žal nihče od njih ni prebil v finale.	Three Slovenes also competed, but did not qualify for the final series.	The Slovenian trio also came to test their skills, but unfortunately none of them made it to the final.	entailment
P3137	Dolge, zelo tanke in viseče ali vzpenjave poganjke s številnimi majhnimi listi ima vzpenjavi gumovec (F. pumila); to je lepa rastlina, primerna za viseče cvetlične posode in ozelenitev predelnih špalirjev.	Vzpenjavi gumovec (lat. ficus pumila) prepoznamo po dolgih in nitastih visečih ali vzpenjavih poganjkih, iz katerih poganjajo številni listki; je okrasna rastlina, ki pride do izraza v visečih cvetličnih loncih in ob predelnih špalirjih.	The long, very thin and hanging or climbing shoots with many small leaves are borne by the ascending gum (F. pumila); it is a beautiful plant suitable for hanging flower pots and greening of borders.	The climbing gum (Lat. ficus pumila) is recognisable by its long and thread-like pendulous or climbing shoots, from which numerous leaves sprout; it is an ornamental plant that is prominent in hanging flower pots and alongside border espaliers.	entailment
P3243	Inšpektorji opravijo preverjanje takoj po tem, ko je prijavna deklaracija predložena.	Takoj po predlogu prijavne deklaracije je opravljen inšpekcijski nadzor.	The inspectors carry out the check as soon as the registration declaration is presented.	An inspection is carried out immediately after the registration declaration is proposed.	entailment
P3300	Bila je zelo bleda in v očeh ji je bral obup.	Izraz v očeh mu je povedal, da je obupana, bila pa je tudi bleda kot stena.	She appeared very pale, and he could read despair in her eyes.	The look in her eyes told him she was desperate, she was also as pale as a wall.	entailment
P3352	BILO JE SLIŠATI, KOT BI NEKDO NEKAJ STRGAL ALI PRASKAL.	SLIŠALI SO SE ZVOKI STRGANJA ALI PRASKANJA.	IT SOUNDED LIKE SOMEONE WAS SCRAPING OR SCRATCHING SOMETHING.	SCRAPING OR SCRATCHING SOUNDS COULD BE HEARD.	entailment
P3430	Od navedene upravnosodne prakse Vrhovnega sodišča izpodbijana sodba sodišča prve stopnje ne odstopa.	Sodba sodišča prve stopnje, ki se izpodbija, je enaka omenjeni upravnosodni praksi Vrhovnega sodišča RS.	The contested judgment of the Court of First Instance does not depart from the above-mentioned administrative case-law of the Supreme Court.	The judgment of the Court of First Instance under appeal is identical to the above-mentioned administrative case-law of the Supreme Court of the Republic of Slovenia.	entailment
P3436	“Na žalost, sem,“ je rekel Klaus.	Klaus je povedal, da je žal to res.	Unfortunately, I am, said Klaus.	Klaus said that unfortunately this is true.	entailment
P3454	Naravne razmere za kmetijstvo so na zelo razrezanem flišnem hribovju slabe.	Kadar naletimo na hribovite flišne pokrajine, lahko prepoznamo slabe pogoje za razvoj kmetijstva.	The natural conditions for farming are poor in the very rugged flysch hills.	Where we encounter hilly flysch landscapes, we can identify poor conditions for agricultural development.	entailment
